time,leg0_joint0_rad,leg0_joint1_rad,leg0_joint2_rad,leg1_joint0_rad,leg1_joint1_rad,leg1_joint2_rad,leg2_joint0_rad,leg2_joint1_rad,leg2_joint2_rad,leg3_joint0_rad,leg3_joint1_rad,leg3_joint2_rad,
4577.82,0.814411,0.877703,-0.794691,-0.788809,-0.802434,0.718617,-0.87371,0.913648,-0.798398,0.846448,-0.967451,0.782434,
4577.82,0.813602,0.879951,-0.794691,-0.788025,-0.804757,0.718617,-0.872842,0.91586,-0.798398,0.845607,-0.969609,0.782434,
4577.82,0.812791,0.882204,-0.794691,-0.787239,-0.807085,0.718617,-0.871972,0.918077,-0.798398,0.844764,-0.971773,0.782434,
4577.83,0.811978,0.884463,-0.794691,-0.786452,-0.809419,0.718617,-0.871099,0.9203,-0.798398,0.843919,-0.973942,0.782434,
4577.83,0.811163,0.886727,-0.794691,-0.785662,-0.811758,0.718617,-0.870225,0.922528,-0.798398,0.843072,-0.976117,0.782434,
4577.84,0.810346,0.888996,-0.794691,-0.784871,-0.814103,0.718617,-0.869349,0.924761,-0.798398,0.842223,-0.978296,0.782434,
4577.84,0.809534,0.891253,-0.794691,-0.784084,-0.816435,0.718617,-0.868477,0.926983,-0.798398,0.841379,-0.980463,0.782434,
4577.84,0.80872,0.893513,-0.794691,-0.783296,-0.81877,0.718617,-0.867604,0.929206,-0.798398,0.840533,-0.982633,0.782434,
4577.85,0.807902,0.895784,-0.794691,-0.782504,-0.821117,0.718617,-0.866727,0.931441,-0.798398,0.839683,-0.984814,0.782434,
4577.85,0.807093,0.898032,-0.794691,-0.781721,-0.823439,0.718617,-0.865859,0.933653,-0.798398,0.838842,-0.986973,0.782434,
4577.86,0.806278,0.900296,-0.794691,-0.780931,-0.825779,0.718617,-0.864985,0.935882,-0.798398,0.837995,-0.989147,0.782434,
4577.86,0.805465,0.902554,-0.794691,-0.780144,-0.828112,0.718617,-0.864112,0.938104,-0.798398,0.83715,-0.991316,0.782434,
4577.86,0.804645,0.904833,-0.794691,-0.779349,-0.830466,0.718617,-0.863233,0.940346,-0.798398,0.836298,-0.993504,0.782434,
4577.87,0.803836,0.907081,-0.794691,-0.778565,-0.832789,0.718617,-0.862364,0.942559,-0.798398,0.835457,-0.995663,0.782434,
4577.87,0.803023,0.909338,-0.794691,-0.777778,-0.835122,0.718617,-0.861492,0.94478,-0.798398,0.834612,-0.997831,0.782434,
4577.88,0.802203,0.911616,-0.794691,-0.776984,-0.837475,0.718617,-0.860613,0.947022,-0.798398,0.83376,-1.00002,0.782434,
4577.88,0.801396,0.913857,-0.794691,-0.776203,-0.839791,0.718617,-0.859747,0.949227,-0.798398,0.832921,-1.00217,0.782434,
4577.88,0.800578,0.916129,-0.794691,-0.77541,-0.842139,0.718617,-0.85887,0.951464,-0.798398,0.832071,-1.00435,0.782434,
4577.89,0.799767,0.918382,-0.794691,-0.774625,-0.844467,0.718617,-0.858,0.953681,-0.798398,0.831228,-1.00652,0.782434,
4577.89,0.798953,0.920645,-0.794691,-0.773836,-0.846804,0.718617,-0.857126,0.955907,-0.798398,0.830382,-1.00869,0.782434,
