Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body_link,0.0074675,1.5026E-09,0.016183,0,0,0,2.2266,0.0083942,1.221E-07,-7.9822E-07,0.0059449,-2.0832E-10,0.012527,0,0,0,0,0,0,package://elephant.SLDASM/meshes/body_link.STL,1,1,1,1,0,0,0,0,0,0,package://elephant.SLDASM/meshes/body_link.STL,,陀螺仪n100-1/陀螺仪外壳1-1;陀螺仪n100-1/n100陀螺仪-1;狗身打印-2;陀螺仪n100-1/陀螺仪盖子-1;狗身加强铝-1;1-1;狗身加强铝-2;狗身打印1-1;GO-M8010-1;狗身板1-1;GO-M8010-2;GO-M8010-6;GO-M8010-5,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf_link1,0.00845046290689605,-0.000845793522106808,0.043881366917354,0,0,0,0.309387230860271,0.000298027526923667,2.51882027527755E-08,2.51419101636831E-08,0.000137451497546928,6.29060605853215E-06,0.000190768663560688,0,0,0,0,0,0,package://elephant.SLDASM/meshes/lf_link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://elephant.SLDASM/meshes/lf_link1.STL,,跨-8;GO-M8010-11,左前腿关节1坐标系,左前腿关节1,lf_joint1,revolute,0.1966,0.060013,0.042001,1.5708,0,1.5708,body_link,0,0,1,0,0,0,0,,,,,,,,
lf_link2,0.037518845938181,-0.000535375111112013,0.0598735276559882,0,0,0,0.778998088622978,0.000468564012915251,3.32467483397795E-05,-2.58892222904719E-08,0.00211942831618237,-3.01259186630498E-08,0.00254117271259907,0,0,0,0,0,0,package://elephant.SLDASM/meshes/lf_link2.STL,1,1,1,1,0,0,0,0,0,0,package://elephant.SLDASM/meshes/lf_link2.STL,,腿安装-4;垫块儿-4;三代目-3/M40铜柱-1;三代目-3/GO-M8010电机-1;三代目-3/大腿1-1;三代目-3/打印件1-1;三代目-3/大腿2-1;三代目-3/胯轴承挡片-1;三代目-3/轴承-1;三代目-3/垫片1-2;三代目-3/同步带-1;三代目-3/小带轮1-1;三代目-3/带轮挡边-1;三代目-3/同步带-2;三代目-3/小带轮2-1;三代目-3/打印件12-1;三代目-3/大腿垫片-1,左前腿关节2坐标系,左前腿关节2,lf_joint2,revolute,0.031287,0,0.06,-1.5708,0.46851,-1.5708,lf_link1,0,0,1,0,0,0,0,,,,,,,,
lf_link3,0.0624136452983811,-4.32381414006144E-09,0.000809235314849194,0,0,0,0.574756313424316,0.000175593322871572,-3.75104518979133E-13,1.09234077381133E-17,0.00100511735338069,-2.50335573152043E-19,0.00115699740184826,0,0,0,0,0,0,package://elephant.SLDASM/meshes/lf_link3.STL,1,1,1,1,0,0,0,0,0,0,package://elephant.SLDASM/meshes/lf_link3.STL,,三代目-3/膝关节轴承档-1;三代目-3/轴承2-2;三代目-3/打印件4-1;三代目-3/狱卒-1/小狗腿-1;三代目-3/大带轮2-1;三代目-3/大带轮挡边-1;三代目-3/大带轮1-1;三代目-3/狱卒-1/小狗腿2-1;三代目-3/打印件4-2;三代目-3/轴承2-1;三代目-3/膝关节轴承档-2;三代目-3/狱卒-1/小狗腿支撑-1,左前腿关节3坐标系,左前腿关节3,lf_joint3,revolute,0.20707,-0.0041231,0.0716,0,0,-1.7376,lf_link2,0,0,1,0,0,0,0,,,,,,,,
lf_link4,-1.22019089277003E-10,0.000378375716664214,-8.47355796640414E-11,0,0,0,0.0848322169853741,4.13433919258288E-05,-3.3881317890172E-21,-2.05244429644008E-21,4.13555372030617E-05,1.39318577254788E-18,7.44813705583866E-05,0,0,0,0,0,0,package://elephant.SLDASM/meshes/lf_link4.STL,1,1,1,1,0,0,0,0,0,0,package://elephant.SLDASM/meshes/lf_link4.STL,,三代目-3/足端-1,左前腿关节4坐标系,,lf_joint4,fixed,0.22,0,0.001,0,0,-1.5708,lf_link3,0,0,0,,,,,,,,,,,,
rf_link1,-0.00847691431057551,0.000763905303813497,0.0440042751242407,0,0,0,0.309387230860329,0.000298027526923693,-2.53804940990973E-08,3.61287915138203E-08,0.000137451497546946,-6.29060605854492E-06,0.000190768663560696,0,0,0,0,0,0,package://elephant.SLDASM/meshes/rf_link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://elephant.SLDASM/meshes/rf_link1.STL,,跨-7;GO-M8010-12,右前腿关节1坐标系,右前腿关节1,rf_joint1,revolute,0.1966,-0.059987,0.042001,1.5708,0,1.5708,body_link,0,0,1,0,0,0,0,,,,,,,,
rf_link2,0.0395441219388503,-0.00528138368334932,0.029099318848943,0,0,0,0.839751446091301,0.000443730196803412,8.93808112343725E-06,-2.90131560013542E-08,0.00214357667755672,-2.56068592307078E-08,0.00253825871424242,0,0,0,0,0,0,package://elephant.SLDASM/meshes/rf_link2.STL,1,1,1,1,0,0,0,0,0,0,package://elephant.SLDASM/meshes/rf_link2.STL,,垫块儿-1;腿安装-1;三代目-1/M40铜柱-1;三代目-1/大腿1-1;三代目-1/GO-M8010电机-1;三代目-1/垫片1-2;三代目-1/同步带-1;三代目-1/带轮挡边-1;三代目-1/小带轮1-1;三代目-1/小带轮2-1;三代目-1/同步带-2;三代目-1/打印件12-1;三代目-1/轴承-1;跨-8;三代目-1/大腿2-1;三代目-1/胯轴承挡片-1;三代目-1/大腿垫片-1,右前腿关节2坐标系,右前腿关节2,rf_joint2,revolute,-0.031313,0,0.06,1.5708,0.58724,-1.5708,rf_link1,0,0,1,0,0,0,0,,,,,,,,
rf_link3,0.0624136485464566,1.07212073385821E-08,-0.000190773858448401,0,0,0,0.574756313424317,0.000175593322871514,-3.7510129347767E-13,5.37644484004962E-18,0.00100511735338073,6.08928360583285E-19,0.00115699740184825,0,0,0,0,0,0,package://elephant.SLDASM/meshes/rf_link3.STL,0.847058823529412,0.847058823529412,0.847058823529412,1,0,0,0,0,0,0,package://elephant.SLDASM/meshes/rf_link3.STL,,三代目-1/狱卒-1/小狗腿支撑-1;三代目-1/狱卒-1/小狗腿-1;三代目-1/狱卒-1/小狗腿2-1;三代目-1/膝关节轴承档-2;三代目-1/轴承2-1;三代目-1/大带轮1-1;三代目-1/大带轮挡边-1;三代目-1/大带轮2-1;三代目-1/打印件4-1;三代目-1/轴承2-2;三代目-1/膝关节轴承档-1;三代目-1/打印件4-2,右前腿关节3坐标系,右前腿关节3,rf_joint3,revolute,0.20707,-0.0041231,0.0726,0,0,0.92712,rf_link2,0,0,1,0,0,0,0,,,,,,,,
rf_link4,1.74385506035435E-12,-0.000378375756879101,-3.71302988355637E-12,0,0,0,0.0848322169853739,4.13433919259714E-05,4.2351647362715E-21,-5.8194646266051E-20,4.13555372032043E-05,1.37340964547368E-18,7.44813705583865E-05,0,0,0,0,0,0,package://elephant.SLDASM/meshes/rf_link4.STL,1,1,1,1,0,0,0,0,0,0,package://elephant.SLDASM/meshes/rf_link4.STL,,三代目-1/足端-1,右前腿关节4坐标系,,rf_joint4,fixed,0.22,0,0,3.1416,0,-1.5708,rf_link3,0,0,0,,,,,,,,,,,,
lb_link1,0.00847691431057812,-0.00076390530381491,0.0440042751242285,0,0,0,0.309387230860269,0.000298027526923666,-2.53804940987658E-08,-3.61287915144368E-08,0.000137451497546927,6.29060605853232E-06,0.000190768663560687,0,0,0,0,0,0,package://elephant.SLDASM/meshes/lb_link1.STL,1,1,1,1,0,0,0,0,0,0,package://elephant.SLDASM/meshes/lb_link1.STL,,GO-M8010-14;跨-9,左后腿关节1坐标系,左后腿关节1,lb_joint1,revolute,-0.1966,0.059987,0.042001,-1.5708,0,1.5708,body_link,0,0,1,0,0,0,0,,,,,,,,
lb_link2,0.0375188461714253,-0.000535374724325299,0.0598735275298266,0,0,0,0.778998090519277,0.000468564011389898,3.32467479304132E-05,-2.58903751846615E-08,0.00211942831773616,-3.01297779416851E-08,0.00254117271262524,0,0,0,0,0,0,package://elephant.SLDASM/meshes/lb_link2.STL,1,1,1,1,0,0,0,0,0,0,package://elephant.SLDASM/meshes/lb_link2.STL,,垫块儿-3;腿安装-3;三代目-5/M40铜柱-1;三代目-5/GO-M8010电机-1;三代目-5/大腿1-1;三代目-5/打印件1-1;三代目-5/大腿2-1;三代目-5/轴承-1;三代目-5/胯轴承挡片-1;三代目-5/同步带-1;三代目-5/垫片1-2;三代目-5/小带轮1-1;三代目-5/带轮挡边-1;三代目-5/同步带-2;三代目-5/小带轮2-1;三代目-5/打印件12-1;三代目-5/大腿垫片-1,左后腿关节2坐标系,左后腿关节2,lb_joint2,revolute,0.031313,0,0.06,1.5708,0.63722,1.5708,lb_link1,0,0,1,0,0,0,0,,,,,,,,
lb_link3,0.0624136453036072,-4.36293232097817E-09,-0.000190764642489794,0,0,0,0.574756313424315,0.000175593322871785,-3.7510614189426E-13,6.55633049866752E-18,0.0010051173533807,1.42823806410899E-18,0.00115699740184848,0,0,0,0,0,0,package://elephant.SLDASM/meshes/lb_link3.STL,1,1,1,1,0,0,0,0,0,0,package://elephant.SLDASM/meshes/lb_link3.STL,,三代目-5/膝关节轴承档-1;三代目-5/轴承2-2;三代目-5/打印件4-1;三代目-5/狱卒-1/小狗腿-1;三代目-5/大带轮挡边-1;三代目-5/大带轮2-1;三代目-5/大带轮1-1;三代目-5/轴承2-1;三代目-5/狱卒-1/小狗腿2-1;三代目-5/打印件4-2;三代目-5/膝关节轴承档-2;三代目-5/狱卒-1/小狗腿支撑-1,左后腿关节3坐标系,左后腿关节3,lb_joint3,revolute,0.20707,-0.0041231,0.0726,0,0,1.2854,lb_link2,0,0,1,0,0,0,0,,,,,,,,
lb_link4,1.80070403033028E-11,-0.000378375792418839,3.78090891928196E-11,0,0,0,0.0848322169853741,4.13433919258643E-05,-3.3881317890172E-21,4.09546898598279E-21,4.1355537203097E-05,1.38580989561717E-18,7.44813705583867E-05,0,0,0,0,0,0,package://elephant.SLDASM/meshes/lb_link4.STL,1,1,1,1,0,0,0,0,0,0,package://elephant.SLDASM/meshes/lb_link4.STL,,三代目-5/足端-1,左后腿关节4坐标系,Axis_lb_joint4,lb_joint4,continuous,0.22,0,0,3.1416,0,-1.5708,lb_link3,0,0,1,,,,,,,,,,,,
rb_link1,-0.00845046290689727,0.000845793522107642,0.0438813669173536,0,0,0,0.309387230860269,0.000298027526923666,2.51882027539084E-08,-2.5141910163544E-08,0.000137451497546928,-6.29060605853177E-06,0.000190768663560688,0,0,0,0,0,0,package://elephant.SLDASM/meshes/rb_link1.STL,1,1,1,1,0,0,0,0,0,0,package://elephant.SLDASM/meshes/rb_link1.STL,,GO-M8010-13;跨-10,右后腿关节1坐标系,右后腿关节1,rb_joint1,revolute,-0.1966,-0.060013,0.042001,-1.5708,0,1.5708,body_link,0,0,1,0,0,0,0,,,,,,,,
rb_link2,0.0417659042069862,0.0010593660937355,0.0589078330920117,0,0,0,0.724056145237142,0.0003969463690821,-3.33357407308601E-05,-2.4669469706277E-08,0.00208867687198129,-3.113262069785E-08,0.00245287462226213,0,0,0,0,0,0,package://elephant.SLDASM/meshes/rb_link2.STL,1,1,1,1,0,0,0,0,0,0,package://elephant.SLDASM/meshes/rb_link2.STL,,腿安装-2;三代目-2/M40铜柱-1;三代目-2/GO-M8010电机-1;垫块儿-2;三代目-2/大腿1-1;三代目-2/垫片1-2;三代目-2/同步带-1;三代目-2/同步带-2;三代目-2/带轮挡边-1;三代目-2/小带轮2-1;三代目-2/小带轮1-1;三代目-2/打印件12-1;三代目-2/大腿2-1;三代目-2/轴承-1;三代目-2/胯轴承挡片-1;三代目-2/大腿垫片-1,右后腿关节2坐标系,右后腿关节2,rb_joint2,revolute,-0.031287,0,0.06,-1.5708,0.43772,1.5708,rb_link1,0,0,1,0,0,0,0,,,,,,,,
rb_link3,0.0634926670027809,-4.43817060880036E-09,-0.000529839097588247,0,0,0,0.564988657328945,0.00017476587522684,-3.75096695782833E-13,-3.01343021889871E-18,0.00100428990573575,1.14283267744349E-19,0.00115560742987778,0,0,0,0,0,0,package://elephant.SLDASM/meshes/rb_link3.STL,1,1,1,1,0,0,0,0,0,0,package://elephant.SLDASM/meshes/rb_link3.STL,,三代目-2/狱卒-1/小狗腿-1;三代目-2/狱卒-1/小狗腿支撑-1;三代目-2/狱卒-1/小狗腿2-1;三代目-2/膝关节轴承档-1;三代目-2/轴承2-2;三代目-2/大带轮挡边-1;三代目-2/大带轮1-1;三代目-2/大带轮2-1;三代目-2/打印件4-2;三代目-2/轴承2-1;三代目-2/膝关节轴承档-2,右后腿关节3坐标系,右后腿关节3,rb_joint3,revolute,0.20707,0.0041231,0.0726,0,0,-0.96369,rb_link2,0,0,1,0,0,0,0,,,,,,,,
rb_link4,2.49494869208888E-13,-0.000378375760483773,3.74866804264684E-13,0,0,0,0.084832216985374,4.13433919258646E-05,1.35525271560688E-20,-9.85794210069223E-22,4.13555372030973E-05,1.39305028391757E-18,7.44813705583866E-05,0,0,0,0,0,0,package://elephant.SLDASM/meshes/rb_link4.STL,1,1,1,1,0,0,0,0,0,0,package://elephant.SLDASM/meshes/rb_link4.STL,,三代目-2/足端-1,右后腿关节4坐标系,,rb_joint4,fixed,0.22,0,0,-3.1416,0,-1.5708,rb_link3,0,0,0,,,,,,,,,,,,
