t,mode,lf_0,lf_1,lf_2,rf_0,rf_1,rf_2,lb_0,lb_1,lb_2,rb_0,rb_1,rb_2,lf_fx,lf_fy,lf_fz,rf_fx,rf_fy,rf_fz,lb_fx,lb_fy,lb_fz,rb_fx,rb_fy,rb_fz
20512.3,1,0.0629916,1.00441,-0.288053,-0.0629855,-0.964592,0.248226,-0.0629928,0.953472,-0.288042,0.0629842,-0.953483,0.288051,0,0,-18.8337,0,0,-18.5889,0,0,-31.4111,0,0,-31.1663
20516.3,1,0.0629941,1.00445,-0.288123,-0.062988,-0.964632,0.248296,-0.0629954,0.953509,-0.288113,0.0629867,-0.95352,0.288121,0,0,-18.8749,0,0,-18.5984,0,0,-31.4016,0,0,-31.1251
20520.3,1,0.0629995,1.00451,-0.288236,-0.0629935,-0.964695,0.248409,-0.0630008,0.953568,-0.288226,0.0629921,-0.953579,0.288234,0,0,-18.9456,0,0,-18.6188,0,0,-31.3812,0,0,-31.0544
20524.2,1,0.0630049,1.00461,-0.288402,-0.0629989,-0.964788,0.248574,-0.0630062,0.953655,-0.288391,0.0629976,-0.953666,0.288399,0,0,-18.9801,0,0,-18.6735,0,0,-31.3265,0,0,-31.0199
20528.2,1,0.0630137,1.00472,-0.288608,-0.0630077,-0.964903,0.248781,-0.063015,0.953763,-0.288597,0.0630064,-0.953774,0.288606,0,0,-18.9027,0,0,-18.6742,0,0,-31.3258,0,0,-31.0973
20532.3,1,0.0630245,1.00486,-0.28886,-0.0630184,-0.965043,0.249033,-0.0630258,0.953896,-0.288849,0.0630171,-0.953907,0.288858,0,0,-18.8477,0,0,-18.6365,0,0,-31.3635,0,0,-31.1523
20536.2,1,0.0630372,1.00503,-0.289158,-0.0630311,-0.965209,0.249331,-0.0630385,0.954052,-0.289147,0.0630298,-0.954063,0.289156,0,0,-18.7984,0,0,-18.5436,0,0,-31.4564,0,0,-31.2016
20540.2,1,0.0630518,1.00522,-0.289502,-0.0630458,-0.965401,0.249674,-0.0630531,0.954232,-0.289491,0.0630445,-0.954243,0.2895,0,0,-18.7677,0,0,-18.4771,0,0,-31.5229,0,0,-31.2323
20544.2,1,0.0630684,1.00544,-0.289891,-0.063061,-0.9656,0.250031,-0.0630697,0.954436,-0.289881,0.0630611,-0.954447,0.289889,0,0,-18.7312,0,0,-18.4547,0,0,-31.5453,0,0,-31.2688
20548.3,1,0.063085,1.00566,-0.290281,-0.0630747,-0.965781,0.250355,-0.0630883,0.954664,-0.290316,0.0630796,-0.954675,0.290325,0,0,-18.7401,0,0,-18.4736,0,0,-31.5264,0,0,-31.2599
20552.3,1,0.0630996,1.00585,-0.290625,-0.0630864,-0.965936,0.250632,-0.0631088,0.954917,-0.290797,0.0631002,-0.954928,0.290806,0,0,-18.7378,0,0,-18.4368,0,0,-31.5632,0,0,-31.2622
20556.2,1,0.0631122,1.00601,-0.290923,-0.0630962,-0.966065,0.250864,-0.0631313,0.955193,-0.291324,0.0631227,-0.955204,0.291332,0,0,-18.7782,0,0,-18.5068,0,0,-31.4932,0,0,-31.2218
20560.2,1,0.0631229,1.00615,-0.291175,-0.0631041,-0.966169,0.25105,-0.0631558,0.955493,-0.291897,0.0631471,-0.955504,0.291905,0,0,-18.8154,0,0,-18.5641,0,0,-31.4359,0,0,-31.1846
20564.2,1,0.0631316,1.00627,-0.291382,-0.06311,-0.966247,0.25119,-0.0631822,0.955817,-0.292515,0.0631736,-0.955828,0.292523,0,0,-18.8423,0,0,-18.5772,0,0,-31.4228,0,0,-31.1577
20568.2,1,0.0631384,1.00636,-0.291542,-0.0631151,-0.966296,0.25128,-0.0632107,0.956165,-0.293179,0.063202,-0.956176,0.293187,0,0,-18.8788,0,0,-18.5992,0,0,-31.4008,0,0,-31.1212
20572.3,1,0.0631447,1.00642,-0.291652,-0.0631166,-0.966325,0.251331,-0.063241,0.956537,-0.293888,0.0632324,-0.956548,0.293896,0,0,-18.9295,0,0,-18.6594,0,0,-31.3406,0,0,-31.0705
20576.2,1,0.0631471,1.00646,-0.291723,-0.0631166,-0.966325,0.251331,-0.0632734,0.956933,-0.294643,0.0632648,-0.956944,0.294651,0,0,-18.9559,0,0,-18.6843,0,0,-31.3157,0,0,-31.0441
20580.4,1,0.0631474,1.00647,-0.291748,-0.0631136,-0.966305,0.251294,-0.0633078,0.957353,-0.295443,0.0632992,-0.957364,0.295452,0,0,-18.9831,0,0,-18.6983,0,0,-31.3017,0,0,-31.0169
